"factor","direction","item_id","benchmark","category","source","empirical_accuracy","alpha","signed_loading","primary_semantic","question_snippet"
"F1","positive","ifeval_20260421T021146Z_525","ifeval",NA,NA,0.762295081967213,0.755407948863418,1.3558827492237,"instruction/constraint following","Write a tweet that is angry about the stunning lack of Virgil van Dijk in the PFA Team of the Year. Italicize at least 2 sections in your answer with markdown, i.e. *italic text section*. Do not use commas in your response. Finish your response with this exact phrase: So what is next?"
"F1","positive","ifeval_20260421T021146Z_64","ifeval",NA,NA,0.737704918032787,0.529323096392872,1.34598635383885,"instruction/constraint following","Write a funny article about why the dinosaurs went extinct and put double quotations marks around your whole response. Include exactly 8 bullet points in your response. The bullet points should be in the form of: * This is bullet 1 * This is bullet 2 ..."
"F1","negative","ifeval_20260421T021146Z_183","ifeval",NA,NA,0.778688524590164,0.792638131312134,-0.0654507566467796,"instruction/constraint following","Write a story about the importance of understanding the truths that are not obvious. Add stress words which are capitalized. Limit those stress words for less than 20 times."
"F1","negative","ifeval_20260421T021146Z_161","ifeval",NA,NA,0.647540983606557,0.389429845266992,-0.0312474343966316,"instruction/constraint following","Can you please continue and expand: ""A man is performing for a crowd on a stage, ..."" Use at least 60 sentences, but less than 600 words."
"F1","negative","ifeval_20260421T021146Z_109","ifeval",NA,NA,0.286885245901639,-0.666338249707843,0,"instruction/constraint following","Compose a poem all in lowercase letters about my friend Barnet."
"F1","negative","ifeval_20260421T021146Z_122","ifeval",NA,NA,0.147540983606557,-1.31142830769788,0,"instruction/constraint following","Create a riddle about the name Sheldon using only 10 words. Make sure to only use capital letters in your entire response."
"F1","negative","ifeval_20260421T021146Z_124","ifeval",NA,NA,0.959016393442623,1.73938410834916,0,"instruction/constraint following","I work in the marketing department and I need your help. I need a template for an advertisement for a new product which is a portable camera. In the template, capitalize a few words to stress main points. Please limit the number of words with all capital letters to less than four. Your response should contain at least ten sentences."
"F1","negative","ifeval_20260421T021146Z_128","ifeval",NA,NA,0.278688524590164,-0.77682948877689,0,"instruction/constraint following","Can you write me an essay about the history of Martin Van Buren's presidency? Make sure that it's in English and not a single letter in your entire response is capitalized whatsoever."
"F1","negative","ifeval_20260421T021146Z_131","ifeval",NA,NA,0.286885245901639,-0.562862872824659,0,"instruction/constraint following","Can you provide a translation for ""今天天气很好"" in German? Do not use ""heute"". Please use another word."
"F1","negative","ifeval_20260421T021146Z_146","ifeval",NA,NA,0.639344262295082,0.543650573127253,0,"instruction/constraint following","Hallucinate a resume for a glass artist in Adelaide. Make sure the resume is in English and all lowercase. The resume should have at least 800 words."
"F1","negative","ifeval_20260421T021146Z_147","ifeval",NA,NA,0.434426229508197,-0.356581036580955,0,"instruction/constraint following","A filmmaker is trying to get financing for a film about the history of the Internet. Write an essay to be used in the proposal to potential investors. The essay should be at least 50 sentences long."
"F1","negative","ifeval_20260421T021146Z_180","ifeval",NA,NA,0.467213114754098,-0.10933993688764,0,"instruction/constraint following","Write a 100-word advertisement for a company called ""Drags and Races"". Don't contain the letter ""p"" in your reply."
"F1","negative","ifeval_20260421T021146Z_184","ifeval",NA,NA,0.254098360655738,-1.0496640221296,0,"instruction/constraint following","Generate a summary of the following passage in all capital letters: World War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945. The vast majority of the world's countries, including all of the great powers, fought as part of two opposing military alliances: the Allies and the Axis. Many partici"
"F1","negative","ifeval_20260421T021146Z_188","ifeval",NA,NA,0.10655737704918,-1.3744189238098,0,"instruction/constraint following","What is another word for Engravings? Answer in lowercase letters only, throughout your entire answer."
"F2","positive","ifeval_20260421T021146Z_409","ifeval",NA,NA,0.319672131147541,-0.512415590877318,1.6457015564614,"instruction/constraint following","What's the difference between a 2-stroke and a 4-stroke motor? Your entire response must be in English and contain only lowercase letters."
"F2","positive","ifeval_20260421T021146Z_293","ifeval",NA,NA,0.30327868852459,-0.647778088875301,1.62234117814518,"instruction/constraint following","Create a product description for a product that will help me to stop snoring. Use all lowercase letters."
"F2","positive","ifeval_20260421T021146Z_267","ifeval",NA,NA,0.262295081967213,-0.991697261652426,1.56693903083138,"instruction/constraint following","The Legend of the Sword and the Fairy is a movie in which Wan Wan is a villain. Write a story about Wan Wan's character in list format. Your entire response should be in English and in all capital letters."
"F2","positive","ifeval_20260421T021146Z_348","ifeval",NA,NA,0.30327868852459,-0.639915358364652,1.55617451625568,"instruction/constraint following","Write a startup pitch for ""Ward and Guerre"". Make it a weird poem that explains why the pitch is good. It should be in English and have no capital letters."
"F2","positive","ifeval_20260421T021146Z_280","ifeval",NA,NA,0.368852459016393,-0.14220181193091,1.54975846347302,"instruction/constraint following","What are some good ideas for startup companies? Write a Hindi poem about this. Use only Hindi in your response, no other language is allowed."
"F2","positive","ifeval_20260421T021146Z_328","ifeval",NA,NA,0.295081967213115,-0.708735349806236,1.547317310669,"instruction/constraint following","Write a song about the benefits of eating your vegetables. Please make sure it is in English and that all of the letters are lowercase."
"F2","positive","ifeval_20260421T021146Z_292","ifeval",NA,NA,0.286885245901639,-0.77018198706254,1.54529857582293,"instruction/constraint following","Write a professional haiku in English for moms about an inspirational chorus teacher. It should include the phrase ""singing is life"" and be in all lowercase letters. No capital letters are allowed."
"F2","positive","ifeval_20260421T021146Z_184","ifeval",NA,NA,0.254098360655738,-1.0496640221296,1.54469050239031,"instruction/constraint following","Generate a summary of the following passage in all capital letters: World War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945. The vast majority of the world's countries, including all of the great powers, fought as part of two opposing military alliances: the Allies and the Axis. Many partici"
"F2","positive","ifeval_20260421T021146Z_425","ifeval",NA,NA,0.352459016393443,-0.258670034216862,1.51694438188591,"instruction/constraint following","Rewrite and expand the following in Arabic. You can hallucinate a lot of details. ""The company is looking to expand its operations into new markets. It will create hundreds of jobs this year."" Outside of Arabic, no other language is allowed throughout your entire response."
"F2","positive","ifeval_20260421T021146Z_268","ifeval",NA,NA,0.368852459016393,-0.175123970809425,1.48328233653002,"instruction/constraint following","What is a lattice? Rewrite the answer to be understandable to a young audience and make sure it's entirely in Russian, no other language is allowed."
"F2","positive","ifeval_20260421T021146Z_250","ifeval",NA,NA,0.254098360655738,-1.02097485566171,1.47736455993704,"instruction/constraint following","Is praying for someone's health a good idea? Your answer must be in all capital letters and in English."
"F2","positive","ifeval_20260421T021146Z_519","ifeval",NA,NA,0.39344262295082,-0.000930534698924862,1.46058618656405,"instruction/constraint following","Given the sentence ""The dog barked at the cat, but the cat ignored it because the"". Can you finish the sentence? Make sure that words in your entire response are in all lowercase letters."
"F2","negative","ifeval_20260421T021146Z_172","ifeval",NA,NA,0.737704918032787,0.599292889304633,-0.153781203706276,"instruction/constraint following","Rewrite the following sentence into an email, and make sure it contains at least 10 placeholders represented by square brackets, such as [name]: The boots are warm but a little uncomfortable."
"F2","negative","ifeval_20260421T021146Z_259","ifeval",NA,NA,0.647540983606557,0.256798938996416,-0.0556295604171355,"instruction/constraint following","Write a cover letter to a local political party, asking to be their rally organizer. Make sure to highlight at least 3 sections in your answer in markdown format."
"F2","negative","ifeval_20260421T021146Z_252","ifeval",NA,NA,0.540983606557377,-0.233824425896467,-0.0469858284437376,"instruction/constraint following","Wherefore doth people consider the 2nd Amendment to be outdated? Answer in a Shakespearean style. Before you answer it, just repeat the request above. You need to repeat it exactly as it is. Do not change any word."
"F2","negative","ifeval_20260421T021146Z_450","ifeval",NA,NA,0.852459016393443,1.1040920162051,-0.0171329136505758,"instruction/constraint following","Here is a social media post: ""My daughter graduated from college today! So proud of her!"" Can you make it more exciting? Please make sure to expand it into exactly 2 paragraphs. Separate paragraphs with the markdown divider: ***. Additionally, italicize at least 3 sections by starting and ending with single *, i.e. *italic text*."
"F2","negative","ifeval_20260421T021146Z_398","ifeval",NA,NA,0.401639344262295,-0.435471536485602,-0.00548351243141659,"instruction/constraint following","Can you re-create a story from a fictional newspaper with title: ""A man mysteriously died in his house, and police are investigating""? Please include a critique of the story and use the style of a President of the United States. Do not mention the keywords ""story"", ""killer"", ""dead"", ""found"", ""law"", ""room"", ""kill"", ""result"", ""use"", ""approach"", ""people"", ""pres"
"F2","negative","ifeval_20260421T021146Z_0","ifeval",NA,NA,0.811475409836066,1.02629031356026,0,"instruction/constraint following","Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*."
"F2","negative","ifeval_20260421T021146Z_1","ifeval",NA,NA,0.721311475409836,0.577968180045516,0,"instruction/constraint following","I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response."
"F2","negative","ifeval_20260421T021146Z_10","ifeval",NA,NA,0.90983606557377,1.48617677865812,0,"instruction/constraint following","Write a blog post with 400 or more words about the benefits of sleeping in a hammock."
"F2","negative","ifeval_20260421T021146Z_100","ifeval",NA,NA,0.860655737704918,1.25364778171161,0,"instruction/constraint following","Write a file for a queer-owned business called ""The Rainbow Cafe"". Your file should have 4 sections, and each section should start with ""SECTION X""."
"F2","negative","ifeval_20260421T021146Z_101","ifeval",NA,NA,0.860655737704918,1.24531896159859,0,"instruction/constraint following","I want to apply for a job as a software engineer at Google. Can you write me two different cover letters -- a concise version and a long version? Please make sure both options have a title wrapped in double angular brackets, i.e. <<title>>."
"F2","negative","ifeval_20260421T021146Z_102","ifeval",NA,NA,0.844262295081967,1.16128090457709,0,"instruction/constraint following","Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>. Let's repeat the request above first, before you say anything or really respond to the request."
"F2","negative","ifeval_20260421T021146Z_104","ifeval",NA,NA,0.885245901639344,1.4177841769515,0,"instruction/constraint following","Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, the word ""forest"" should appear at least 3 times, and be written in English, with all letters lowercased."
"F3","positive","ifeval_20260421T021146Z_147","ifeval",NA,NA,0.434426229508197,-0.356581036580955,1.24786529519094,"instruction/constraint following","A filmmaker is trying to get financing for a film about the history of the Internet. Write an essay to be used in the proposal to potential investors. The essay should be at least 50 sentences long."
"F3","positive","ifeval_20260421T021146Z_95","ifeval",NA,NA,0.639344262295082,0.492682311084078,1.14971372479129,"instruction/constraint following","Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used."
"F3","positive","ifeval_20260421T021146Z_466","ifeval",NA,NA,0.655737704918033,0.501072056421177,1.11572341247304,"instruction/constraint following","Write an essay on the differences between Sunni and Shi'a Muslims. Your entire response must contain at least 1200 words."
"F3","positive","ifeval_20260421T021146Z_146","ifeval",NA,NA,0.639344262295082,0.543650573127253,1.10108825987579,"instruction/constraint following","Hallucinate a resume for a glass artist in Adelaide. Make sure the resume is in English and all lowercase. The resume should have at least 800 words."
"F3","positive","ifeval_20260421T021146Z_48","ifeval",NA,NA,0.639344262295082,0.403055186480613,1.04355227844706,"instruction/constraint following","Write a poem that's at least 350 words about the beauty of eucalyptus trees and their many uses."
"F3","positive","ifeval_20260421T021146Z_120","ifeval",NA,NA,0.827868852459016,1.29718453068497,0.938250518788818,"instruction/constraint following","""Coincidence is God's way of remaining anonymous."" What are your thoughts on this quote? Please do not use commas in your response. Answer with more than 800 words."
"F3","positive","ifeval_20260421T021146Z_80","ifeval",NA,NA,0.754098360655738,0.861739784419583,0.927401615268352,"instruction/constraint following","Write a 30-line poem with short sentences without any comma. Each line should contain exactly one sentence. Make sure that you put the right punctuation at the end of each line. Your entire response should contain the poem only."
"F3","positive","ifeval_20260421T021146Z_490","ifeval",NA,NA,0.754098360655738,0.819584080982898,0.809470737822311,"instruction/constraint following","critique this startup pitch: Stephenson and Hong Kong will be the first-ever digital marketplace where users can buy and sell products from all over the world Stephenson and Hong Kong will be a onestopshop for all of your shopping needs and we will offer a variety of features that will make shopping online easier and more convenient than ever before. Do not "
"F3","positive","ifeval_20260421T021146Z_49","ifeval",NA,NA,0.827868852459016,1.22838186215305,0.79082616655407,"instruction/constraint following","I have a dime. What can I do with this dime? Give me advice in the style of a President of the United States and make sure it has at least 600 words."
"F3","positive","ifeval_20260421T021146Z_284","ifeval",NA,NA,0.795081967213115,1.02373357006256,0.724383748083649,"instruction/constraint following","Write a college academic paper about President of the United States being stressed. Make sure not to include negative words such as 'sad', 'crazy', 'stress', etc., in the response. Also, make sure to include at least 15 placeholders represented by square brackets, such as [address]."
"F3","positive","ifeval_20260421T021146Z_277","ifeval",NA,NA,0.237704918032787,-0.965595598624032,0.703647636774374,"instruction/constraint following","Write a rubric in the form of a poem that lists several items for how to evaluate a poem. The letter w should appear less than 2 times in your response."
"F3","positive","ifeval_20260421T021146Z_9","ifeval",NA,NA,0.680327868852459,0.425804000251323,0.69522647175411,"instruction/constraint following","Write a long email template that invites a group of participants to a meeting, with at least 500 words. The email must include the keywords ""correlated"" and ""experiencing"" and should not use any commas."
"F3","negative","ifeval_20260421T021146Z_221","ifeval",NA,NA,0.639344262295082,0.959488702287702,-0.362484134119815,"instruction/constraint following","what is the difference between a levee and an embankment? Please respond to me only in Korean."
"F3","negative","ifeval_20260421T021146Z_225","ifeval",NA,NA,0.877049180327869,1.19772636759054,-0.344770742257141,"instruction/constraint following","Who built the first artificial ice rink? Please include the keys (1) Name (2) Location and (3) Year. Use less than 150 words."
"F3","negative","ifeval_20260421T021146Z_338","ifeval",NA,NA,0.860655737704918,1.1106937811424,-0.322549875451718,"instruction/constraint following","Can you provide me with the timetable for the next train to London? Please respond in less than 6 sentences."
"F3","negative","ifeval_20260421T021146Z_116","ifeval",NA,NA,0.795081967213115,0.789325078016784,-0.268757624423233,"instruction/constraint following","Make the sentence “The bus arrived at the station” sound more interesting. Avoid using the word “station”."
"F3","negative","ifeval_20260421T021146Z_359","ifeval",NA,NA,0.868852459016393,1.23240588610437,-0.255821400128927,"instruction/constraint following","The hull of a ship is severely damaged in a storm. The ship has craters and some of its outer shell has been peeled off. How can I repair the hull? Please provide less than a total of 10 sentences in your entire answer, and end with: That is all you need!"
"F3","negative","ifeval_20260421T021146Z_527","ifeval",NA,NA,0.877049180327869,1.30737360619839,-0.205978172438839,"instruction/constraint following","What is the name of the green-eyed monster that makes people jealous? Your response should be less than 3 sentences (just 1 sentence or 2 sentences)."
"F3","negative","ifeval_20260421T021146Z_217","ifeval",NA,NA,0.770491803278688,0.706102241947949,-0.176905152297818,"instruction/constraint following","Here is the summary of a research paper on the effect of VHF radio waves on a certain type of bacteria: ""Our results show that VHF radio waves have no effect on the growth of bacteria."" Can you help me rewrite this summary in a more formal way, using APA format? Do not use words ""ours"" or ""have""."
"F3","negative","ifeval_20260421T021146Z_119","ifeval",NA,NA,0.80327868852459,0.783670373472368,-0.14885080751685,"instruction/constraint following","Write a short essay about the updates of the latest episode of your favorite TV show. Use less than 300 words."
"F3","negative","ifeval_20260421T021146Z_269","ifeval",NA,NA,0.737704918032787,0.472673201020098,-0.126622531532988,"instruction/constraint following","Radcliffe was the only one who could get past the guards. What could be said about him? Please wrap your entire response in JSON format. Markdown ticks (```) are acceptable."
"F3","negative","ifeval_20260421T021146Z_351","ifeval",NA,NA,0.942622950819672,1.6433294427188,-0.102873754727445,"instruction/constraint following","Write a parody of 'ars poetica'. Do not include the word 'parody' throughout your response."
"F3","negative","ifeval_20260421T021146Z_513","ifeval",NA,NA,0.811475409836066,0.951896767980177,-0.10215669214535,"instruction/constraint following","Why is Algiers the best place to go on vacation? Answer with exactly one sentence. Put double quotation marks around your entire one-sentence response."
"F3","negative","ifeval_20260421T021146Z_142","ifeval",NA,NA,0.901639344262295,1.52792679275541,-0.0853975249345468,"instruction/constraint following","How to write a good Chinese poem? At the end of your response, please explicitly add a note starting with ""P.S."""
